language,encoder,maxlen,R10
quz,e5-base (query:),256,6.15
ro,e5-base (query:),64,42.82
ro,e5-base (query:),128,42.72
ro,e5-base (query:),256,42.72
ru,e5-base (query:),64,53.4
ru,e5-base (query:),128,53.42
ru,e5-base (query:),256,53.42
sv,e5-base (query:),64,51.08
sv,e5-base (query:),128,51.08
sv,e5-base (query:),256,51.08
sw,e5-base (query:),64,20.38
sw,e5-base (query:),128,20.39
sw,e5-base (query:),256,20.39
te,e5-base (query:),64,28.39
te,e5-base (query:),128,28.39
te,e5-base (query:),256,28.39
th,e5-base (query:),64,48.35
th,e5-base (query:),128,48.35
th,e5-base (query:),256,48.35
tr,e5-base (query:),64,43.63
tr,e5-base (query:),128,43.66
tr,e5-base (query:),256,43.66
uk,e5-base (query:),64,46.87
uk,e5-base (query:),128,46.94
uk,e5-base (query:),256,46.94
vi,e5-base (query:),64,56.59
vi,e5-base (query:),128,56.59
vi,e5-base (query:),256,56.59
zh,e5-base (query:),64,50.56
zh,e5-base (query:),128,50.57
zh,e5-base (query:),256,50.57
