source,rank,singular_value,var_frac
distillation,121,1.335804,0.00066
distillation,122,1.310086,0.000634
distillation,123,1.288495,0.000614
distillation,124,1.278865,0.000605
distillation,125,1.255129,0.000582
distillation,126,1.229031,0.000558
distillation,127,1.20401,0.000536
distillation,128,1.173419,0.000509
distillation,129,1.121952,0.000465
distillation,130,1.106987,0.000453
distillation,131,1.06914,0.000422
distillation,132,1.047411,0.000405
distillation,133,1.026334,0.000389
distillation,134,0.999637,0.000369
distillation,135,0.993238,0.000365
distillation,136,0.965741,0.000345
distillation,137,0.94077,0.000327
distillation,138,0.927223,0.000318
distillation,139,0.92004,0.000313
distillation,140,0.894174,0.000296
distillation,141,0.889681,0.000293
distillation,142,0.850328,0.000267
distillation,143,0.832113,0.000256
distillation,144,0.822046,0.00025
distillation,145,0.788978,0.00023
distillation,146,0.767101,0.000217
distillation,147,0.755235,0.000211
distillation,148,0.731402,0.000198
distillation,149,0.723381,0.000193
distillation,150,0.715693,0.000189
distillation,151,0.703886,0.000183
distillation,152,0.674731,0.000168
distillation,153,0.665623,0.000164
distillation,154,0.653064,0.000158
distillation,155,0.636615,0.00015
distillation,156,0.635723,0.000149
distillation,157,0.621013,0.000143
distillation,158,0.614325,0.000139
distillation,159,0.587251,0.000127
distillation,160,0.580088,0.000124
distillation,161,0.574341,0.000122
distillation,162,0.569817,0.00012
distillation,163,0.561103,0.000116
distillation,164,0.548646,0.000111
distillation,165,0.540182,0.000108
distillation,166,0.526191,0.000102
distillation,167,0.52278,0.000101
distillation,168,0.514808,9.8e-05
distillation,169,0.511188,9.7e-05
distillation,170,0.507793,9.5e-05
distillation,171,0.492972,9e-05
distillation,172,0.489994,8.9e-05
distillation,173,0.483918,8.7e-05
distillation,174,0.483386,8.6e-05
distillation,175,0.472909,8.3e-05
distillation,176,0.464658,8e-05
distillation,177,0.456791,7.7e-05
distillation,178,0.450448,7.5e-05
distillation,179,0.446972,7.4e-05
distillation,180,0.43936,7.1e-05
distillation,181,0.434724,7e-05
distillation,182,0.43123,6.9e-05
distillation,183,0.427277,6.7e-05
distillation,184,0.422003,6.6e-05
distillation,185,0.4194,6.5e-05
distillation,186,0.418199,6.5e-05
distillation,187,0.408152,6.2e-05
distillation,188,0.402637,6e-05
distillation,189,0.397763,5.8e-05
distillation,190,0.391843,5.7e-05
distillation,191,0.387384,5.5e-05
distillation,192,0.383889,5.4e-05
distillation,193,0.380643,5.4e-05
distillation,194,0.378357,5.3e-05
distillation,195,0.373277,5.2e-05
distillation,196,0.369447,5e-05
distillation,197,0.365813,4.9e-05
distillation,198,0.363909,4.9e-05
distillation,199,0.362807,4.9e-05
distillation,-1,41.948,-1
head-adapt,0,9.033647,0.067333
head-adapt,1,7.522035,0.046684
head-adapt,2,6.912079,0.03942
head-adapt,3,6.628287,0.036249
head-adapt,4,6.164927,0.031359
head-adapt,5,5.875144,0.02848
head-adapt,6,5.359513,0.0237
head-adapt,7,5.257109,0.022803
head-adapt,8,4.915788,0.019938
head-adapt,9,4.747372,0.018595
head-adapt,10,4.509112,0.016776
head-adapt,11,4.492236,0.01665
head-adapt,12,4.321874,0.015411
head-adapt,13,4.171766,0.014359
head-adapt,14,4.014828,0.013299
head-adapt,15,3.927984,0.01273
head-adapt,16,3.811662,0.011987
head-adapt,17,3.693703,0.011257
head-adapt,18,3.620809,0.010817
head-adapt,19,3.563516,0.010477
head-adapt,20,3.541573,0.010349
head-adapt,21,3.44832,0.009811
head-adapt,22,3.381873,0.009437
head-adapt,23,3.302368,0.008998
head-adapt,24,3.239474,0.008659
head-adapt,25,3.186866,0.00838
head-adapt,26,3.148372,0.008178
head-adapt,27,3.100257,0.00793
head-adapt,28,3.067418,0.007763
head-adapt,29,3.00744,0.007463
head-adapt,30,2.932526,0.007096
head-adapt,31,2.882754,0.006857
head-adapt,32,2.863345,0.006765
head-adapt,33,2.809964,0.006515
head-adapt,34,2.766564,0.006315
head-adapt,35,2.750155,0.00624
head-adapt,36,2.732516,0.006161
head-adapt,37,2.687829,0.005961
head-adapt,38,2.674593,0.005902
head-adapt,39,2.604026,0.005595
head-adapt,40,2.560963,0.005411
head-adapt,41,2.552856,0.005377
head-adapt,42,2.491324,0.005121
head-adapt,43,2.476994,0.005062
head-adapt,44,2.46459,0.005012
head-adapt,45,2.444812,0.004932
head-adapt,46,2.412622,0.004803
head-adapt,47,2.371619,0.004641
head-adapt,48,2.365411,0.004616
head-adapt,49,2.333596,0.004493
head-adapt,50,2.306411,0.004389
head-adapt,51,2.288533,0.004321
head-adapt,52,2.253086,0.004188
head-adapt,53,2.237543,0.004131
head-adapt,54,2.203587,0.004006
head-adapt,55,2.198374,0.003988
head-adapt,56,2.191898,0.003964
head-adapt,57,2.160862,0.003853
head-adapt,58,2.142812,0.003789
head-adapt,59,2.120886,0.003711
head-adapt,60,2.07914,0.003567
