path,success,hmargin,diralign
ceiling,1,-16,0.27653
ceiling,1,15,0.31319
ceiling,0,-66,0.07457
ceiling,1,-44,0.23878
ceiling,1,6,0.28719
ceiling,1,-22,0.2828
ceiling,1,-60,0.2492
ceiling,1,33,0.29935
ceiling,1,-42,0.2457
ceiling,1,-18,0.31721
ceiling,0,-69,0.19239
ceiling,1,-5,0.33504
ceiling,1,7,0.2896
ceiling,1,-8,0.20992
ceiling,0,-148,0.17034
ceiling,1,2,0.34454
ceiling,1,-17,0.21722
ceiling,1,48,0.28826
ceiling,1,26,0.33207
ceiling,1,83,0.31438
ceiling,1,-49,0.28202
ceiling,1,57,0.33949
ceiling,0,-73,0.19458
ceiling,0,-108,0.18769
ceiling,0,-111,0.07632
ceiling,1,70,0.34637
ceiling,1,-11,0.24618
ceiling,1,-31,0.25324
ceiling,1,43,0.27794
ceiling,1,51,0.29615
ceiling,1,-18,0.25578
ceiling,1,-51,0.23586
ceiling,1,-115,0.23163
ceiling,0,-85,0.19476
ceiling,0,-32,0.24243
ceiling,1,-1,0.29458
ceiling,1,-39,0.24951
ceiling,1,-24,0.22079
ceiling,1,94,0.33844
ceiling,1,3,0.28919
ceiling,1,22,0.36526
ceiling,1,-16,0.23061
ceiling,1,24,0.29648
ceiling,1,59,0.34666
ceiling,1,20,0.27941
ceiling,1,-8,0.21481
ceiling,0,-76,0.06422
ceiling,1,-33,0.28944
ceiling,1,46,0.32678
ceiling,1,22,0.25956
ceiling,1,-28,0.29651
ceiling,1,-45,0.265
ceiling,1,30,0.30072
ceiling,1,-16,0.35735
ceiling,1,22,0.30877
ceiling,0,-83,0.23999
ceiling,1,74,0.32739
ceiling,1,67,0.32103
ceiling,1,7,0.2545
ceiling,1,-61,0.27467
ceiling,1,4,0.32473
ceiling,1,-55,0.31548
ceiling,1,30,0.28353
ceiling,0,-183,0.13209
ceiling,1,-23,0.29494
ceiling,0,-107,0.15904
ceiling,1,28,0.34372
ceiling,0,-180,0.1629
ceiling,1,-33,0.25571
ceiling,1,-9,0.2793
ceiling,1,-21,0.31357
ceiling,1,-12,0.31246
ceiling,1,-25,0.26786
ceiling,0,-82,0.21575
ceiling,1,-78,0.23391
ceiling,1,-38,0.254
ceiling,1,17,0.24362
ceiling,1,-3,0.28732
ceiling,1,-28,0.27816
ceiling,1,-17,0.31379
ceiling,1,1,0.33993
ceiling,1,-28,0.32423
ceiling,1,-82,0.23356
ceiling,1,-8,0.30438
ceiling,1,20,0.32161
ceiling,1,-22,0.28504
ceiling,0,-95,0.17458
ceiling,0,-111,0.21935
ceiling,1,-47,0.21134
ceiling,1,50,0.33688
ceiling,1,-32,0.28006
ceiling,1,-22,0.31363
ceiling,1,70,0.29136
ceiling,1,91,0.31396
ceiling,1,14,0.32692
ceiling,0,-101,0.21327
ceiling,1,-47,0.2401
ceiling,1,2,0.2947
ceiling,1,-6,0.32439
ceiling,0,-40,0.27802
ceiling,0,-43,0.26783
ceiling,1,-7,0.2321
ceiling,1,-7,0.29598
ceiling,1,21,0.26247
ceiling,0,-23,0.24919
ceiling,1,-80,0.25615
ceiling,0,-49,0.27579
ceiling,1,-29,0.23494
ceiling,1,59,0.32371
ceiling,1,49,0.33753
ceiling,1,-17,0.28262
ceiling,1,12,0.28041
ceiling,0,-98,0.15649
ceiling,1,70,0.33011
ceiling,1,81,0.30188
ceiling,1,57,0.26838
ceiling,1,-3,0.27855
ceiling,1,-14,0.27974
ceiling,1,60,0.31834
ceiling,0,-130,0.11295
ceiling,1,-59,0.26624
ceiling,1,38,0.27045
ceiling,1,26,0.2976
ceiling,1,-98,0.22499
ceiling,1,-14,0.24632
ceiling,1,-12,0.23603
ceiling,1,3,0.3368
ceiling,0,-82,0.2455
ceiling,0,-64,0.20126
ceiling,1,36,0.30931
ceiling,1,-46,0.25807
ceiling,0,-73,0.23797
ceiling,1,28,0.31222
ceiling,0,-139,0.15623
ceiling,1,57,0.31929
ceiling,1,42,0.2936
ceiling,1,-3,0.24338
ceiling,1,-31,0.23218
ceiling,1,16,0.24022
ceiling,1,-20,0.19753
ceiling,1,-26,0.24176
ceiling,1,53,0.32759
ceiling,1,20,0.29986
ceiling,1,85,0.34208
ceiling,1,30,0.25791
ceiling,1,-42,0.30583
ceiling,1,79,0.3286
ceiling,1,42,0.33387
ceiling,0,-42,0.22389
ceiling,0,-94,0.1273
ceiling,0,-115,0.00407
ceiling,1,28,0.29463
ceiling,1,63,0.24281
ceiling,0,-161,0.18846
ceiling,1,3,0.27712
ceiling,1,4,0.32514
ceiling,0,-79,0.23468
ceiling,1,96,0.30369
ceiling,1,75,0.29323
ceiling,1,-18,0.29963
ceiling,1,94,0.31598
ceiling,1,-55,0.28268
