path,kind,ham_bin,count
head-adapt,pair,1011,0
head-adapt,nearest_wrong,0,0
head-adapt,nearest_wrong,12,0
head-adapt,nearest_wrong,25,0
head-adapt,nearest_wrong,38,0
head-adapt,nearest_wrong,51,0
head-adapt,nearest_wrong,64,0
head-adapt,nearest_wrong,76,0
head-adapt,nearest_wrong,89,1
head-adapt,nearest_wrong,102,4
head-adapt,nearest_wrong,115,2
head-adapt,nearest_wrong,128,28
head-adapt,nearest_wrong,140,93
head-adapt,nearest_wrong,153,196
head-adapt,nearest_wrong,166,355
head-adapt,nearest_wrong,179,545
head-adapt,nearest_wrong,192,652
head-adapt,nearest_wrong,204,697
head-adapt,nearest_wrong,217,626
head-adapt,nearest_wrong,230,544
head-adapt,nearest_wrong,243,403
head-adapt,nearest_wrong,256,338
head-adapt,nearest_wrong,268,237
head-adapt,nearest_wrong,281,124
head-adapt,nearest_wrong,294,94
head-adapt,nearest_wrong,307,37
head-adapt,nearest_wrong,320,17
head-adapt,nearest_wrong,332,6
head-adapt,nearest_wrong,345,1
head-adapt,nearest_wrong,358,0
head-adapt,nearest_wrong,371,0
head-adapt,nearest_wrong,384,0
head-adapt,nearest_wrong,396,0
head-adapt,nearest_wrong,409,0
head-adapt,nearest_wrong,422,0
head-adapt,nearest_wrong,435,0
head-adapt,nearest_wrong,448,0
head-adapt,nearest_wrong,460,0
head-adapt,nearest_wrong,473,0
head-adapt,nearest_wrong,486,0
head-adapt,nearest_wrong,499,0
head-adapt,nearest_wrong,512,0
head-adapt,nearest_wrong,524,0
head-adapt,nearest_wrong,537,0
head-adapt,nearest_wrong,550,0
head-adapt,nearest_wrong,563,0
head-adapt,nearest_wrong,576,0
head-adapt,nearest_wrong,588,0
head-adapt,nearest_wrong,601,0
head-adapt,nearest_wrong,614,0
head-adapt,nearest_wrong,627,0
head-adapt,nearest_wrong,640,0
head-adapt,nearest_wrong,652,0
head-adapt,nearest_wrong,665,0
head-adapt,nearest_wrong,678,0
head-adapt,nearest_wrong,691,0
head-adapt,nearest_wrong,704,0
head-adapt,nearest_wrong,716,0
head-adapt,nearest_wrong,729,0
head-adapt,nearest_wrong,742,0
head-adapt,nearest_wrong,755,0
head-adapt,nearest_wrong,768,0
head-adapt,nearest_wrong,780,0
head-adapt,nearest_wrong,793,0
head-adapt,nearest_wrong,806,0
head-adapt,nearest_wrong,819,0
head-adapt,nearest_wrong,832,0
head-adapt,nearest_wrong,844,0
head-adapt,nearest_wrong,857,0
head-adapt,nearest_wrong,870,0
head-adapt,nearest_wrong,883,0
head-adapt,nearest_wrong,896,0
head-adapt,nearest_wrong,908,0
head-adapt,nearest_wrong,921,0
head-adapt,nearest_wrong,934,0
head-adapt,nearest_wrong,947,0
head-adapt,nearest_wrong,960,0
head-adapt,nearest_wrong,972,0
head-adapt,nearest_wrong,985,0
head-adapt,nearest_wrong,998,0
head-adapt,nearest_wrong,1011,0
head-adapt,gap(nwrong-pair),-512,0
head-adapt,gap(nwrong-pair),-499,0
head-adapt,gap(nwrong-pair),-486,0
head-adapt,gap(nwrong-pair),-473,0
head-adapt,gap(nwrong-pair),-460,0
head-adapt,gap(nwrong-pair),-448,0
head-adapt,gap(nwrong-pair),-435,0
head-adapt,gap(nwrong-pair),-422,0
head-adapt,gap(nwrong-pair),-409,0
head-adapt,gap(nwrong-pair),-396,0
head-adapt,gap(nwrong-pair),-384,0
head-adapt,gap(nwrong-pair),-371,0
head-adapt,gap(nwrong-pair),-358,0
head-adapt,gap(nwrong-pair),-345,0
head-adapt,gap(nwrong-pair),-332,0
head-adapt,gap(nwrong-pair),-320,0
head-adapt,gap(nwrong-pair),-307,0
head-adapt,gap(nwrong-pair),-294,0
head-adapt,gap(nwrong-pair),-281,0
head-adapt,gap(nwrong-pair),-268,0
head-adapt,gap(nwrong-pair),-256,2
head-adapt,gap(nwrong-pair),-243,3
head-adapt,gap(nwrong-pair),-230,4
head-adapt,gap(nwrong-pair),-217,6
head-adapt,gap(nwrong-pair),-204,5
head-adapt,gap(nwrong-pair),-192,9
head-adapt,gap(nwrong-pair),-179,16
head-adapt,gap(nwrong-pair),-166,17
head-adapt,gap(nwrong-pair),-153,35
head-adapt,gap(nwrong-pair),-140,37
head-adapt,gap(nwrong-pair),-128,64
head-adapt,gap(nwrong-pair),-115,110
head-adapt,gap(nwrong-pair),-102,150
head-adapt,gap(nwrong-pair),-89,194
head-adapt,gap(nwrong-pair),-76,276
head-adapt,gap(nwrong-pair),-64,375
head-adapt,gap(nwrong-pair),-51,437
head-adapt,gap(nwrong-pair),-38,514
head-adapt,gap(nwrong-pair),-25,594
head-adapt,gap(nwrong-pair),-12,518
head-adapt,gap(nwrong-pair),0,487
head-adapt,gap(nwrong-pair),12,392
head-adapt,gap(nwrong-pair),25,265
head-adapt,gap(nwrong-pair),38,208
head-adapt,gap(nwrong-pair),51,128
head-adapt,gap(nwrong-pair),64,63
head-adapt,gap(nwrong-pair),76,57
head-adapt,gap(nwrong-pair),89,20
head-adapt,gap(nwrong-pair),102,5
head-adapt,gap(nwrong-pair),115,3
head-adapt,gap(nwrong-pair),128,5
head-adapt,gap(nwrong-pair),140,1
head-adapt,gap(nwrong-pair),153,0
head-adapt,gap(nwrong-pair),166,0
head-adapt,gap(nwrong-pair),179,0
head-adapt,gap(nwrong-pair),192,0
head-adapt,gap(nwrong-pair),204,0
head-adapt,gap(nwrong-pair),217,0
head-adapt,gap(nwrong-pair),230,0
head-adapt,gap(nwrong-pair),243,0
head-adapt,gap(nwrong-pair),256,0
head-adapt,gap(nwrong-pair),268,0
head-adapt,gap(nwrong-pair),281,0
head-adapt,gap(nwrong-pair),294,0
head-adapt,gap(nwrong-pair),307,0
head-adapt,gap(nwrong-pair),320,0
head-adapt,gap(nwrong-pair),332,0
head-adapt,gap(nwrong-pair),345,0
head-adapt,gap(nwrong-pair),358,0
head-adapt,gap(nwrong-pair),371,0
head-adapt,gap(nwrong-pair),384,0
head-adapt,gap(nwrong-pair),396,0
head-adapt,gap(nwrong-pair),409,0
head-adapt,gap(nwrong-pair),422,0
head-adapt,gap(nwrong-pair),435,0
head-adapt,gap(nwrong-pair),448,0
head-adapt,gap(nwrong-pair),460,0
head-adapt,gap(nwrong-pair),473,0
head-adapt,gap(nwrong-pair),486,0
head-adapt,gap(nwrong-pair),499,0
