path,bit,flip_frac
distillation,612,0.1306
distillation,613,0.1472
distillation,614,0.1288
distillation,615,0.1274
distillation,616,0.1162
distillation,617,0.115
distillation,618,0.1398
distillation,619,0.118
distillation,620,0.137
distillation,621,0.137
distillation,622,0.1256
distillation,623,0.1324
distillation,624,0.1106
distillation,625,0.1148
distillation,626,0.122
distillation,627,0.1454
distillation,628,0.1274
distillation,629,0.1348
distillation,630,0.1228
distillation,631,0.132
distillation,632,0.1422
distillation,633,0.116
distillation,634,0.1354
distillation,635,0.144
distillation,636,0.1376
distillation,637,0.1306
distillation,638,0.1282
distillation,639,0.1296
distillation,640,0.1384
distillation,641,0.1294
distillation,642,0.1596
distillation,643,0.1376
distillation,644,0.1166
distillation,645,0.1494
distillation,646,0.1424
distillation,647,0.1382
distillation,648,0.1572
distillation,649,0.1174
distillation,650,0.1312
distillation,651,0.1312
distillation,652,0.126
distillation,653,0.1422
distillation,654,0.1266
distillation,655,0.1608
distillation,656,0.1482
distillation,657,0.1344
distillation,658,0.1324
distillation,659,0.1266
distillation,660,0.1378
distillation,661,0.134
distillation,662,0.1376
distillation,663,0.139
distillation,664,0.0996
distillation,665,0.122
distillation,666,0.1462
distillation,667,0.1342
distillation,668,0.1422
distillation,669,0.1444
distillation,670,0.1418
distillation,671,0.1578
distillation,672,0.14
distillation,673,0.1442
distillation,674,0.124
distillation,675,0.129
distillation,676,0.1378
distillation,677,0.133
distillation,678,0.1182
distillation,679,0.13
distillation,680,0.1188
distillation,681,0.1174
distillation,682,0.1284
distillation,683,0.1124
distillation,684,0.1472
distillation,685,0.1342
distillation,686,0.1398
distillation,687,0.1378
distillation,688,0.1512
distillation,689,0.1318
distillation,690,0.122
distillation,691,0.1444
distillation,692,0.1428
distillation,693,0.1322
distillation,694,0.138
distillation,695,0.1402
distillation,696,0.1498
distillation,697,0.1262
distillation,698,0.1386
distillation,699,0.1468
distillation,700,0.1394
distillation,701,0.1402
distillation,702,0.138
distillation,703,0.1232
distillation,704,0.1352
distillation,705,0.1232
distillation,706,0.1406
distillation,707,0.1308
distillation,708,0.1334
distillation,709,0.1252
distillation,710,0.1392
distillation,711,0.155
distillation,712,0.1388
distillation,713,0.125
distillation,714,0.1292
distillation,715,0.1224
distillation,716,0.1288
distillation,717,0.1486
distillation,718,0.1272
distillation,719,0.148
distillation,720,0.138
distillation,721,0.1364
distillation,722,0.12
distillation,723,0.138
distillation,724,0.1444
distillation,725,0.141
distillation,726,0.1442
distillation,727,0.1184
distillation,728,0.1564
distillation,729,0.1338
distillation,730,0.1284
distillation,731,0.1496
distillation,732,0.1144
distillation,733,0.1614
distillation,734,0.1398
